z153yi8,u5erb551yo,vbi5ustafos,v1sves1l,nj8d1js6mly,zw9u23wfoat,bslnykoygnx,ixet0uzuuoh,bcqe6tdkash,gnyebdyjsq,laedo3e,u3onbs8utn,910alza9eq,qvwwq8qe00,ykri3z1g,gds8lo,zy5q4ch85,snbu4rj,y02zr8iy,oep16bl,hvh8c4,fqs6141,vrhnlr48,v0zfxgo3xh8,47scottr,98nwv2,m8b70rwh
mc_ID_8326,"Single Female with four children, education: high school degree working as skilled manual",30 Thousand,"Snack Foods from Snack Foods department, Ordered Brand : Fast",31.6883,30.0894,1.5989000000000004,yes,"['Ready Food', 'Bar For Salad']",Super Wallet Savers,SUPERMARKET,9.1 M,3.276 M,2265.9,3691.37,,569.72,570.8022,niteroi,RJ,-22.90581654870452,-43.106988856771984,votorantim,SP,-23.540699932021333,-47.45842622799934,5.0
mc_ID_8327,"Married Male with three children, education: high school degree working as skilled manual",30K+,"Snack Foods from Snack Foods department, Ordered Brand : Fort West",,14.972,val: nan,yes,"['Coffee Bar', 'Ready Food', 'Florist', 'Bar For Salad']",GLD,Gourmet,4.56 M,1.4592 M,1564.86,2207.34,385.45,255.49,396.2248,santa maria,RS,-29.689198816146927,-53.8064289212743,curitiba,SP,-25.491606559524563,amount: -49.28283748666978,1.0
mc_ID_8329,"Single_Female_with_one_child,_education:_partial_high_school_working_as_skilled_manual",Income: 10K+,"Snack Foods from Snack Foods department, Ordered Brand : Nationeel",-28.6358,25.7286,val: 2.9072,yes,"['Bar For Salad', 'Florist', 'Ready Food', 'Coffee Bar']",Super Duper Savers,DElUxE,"7.68 ,000,000",2.3808 M,2055.29,3145.51,654.13,434.53,€309.63,BELO HORIZONTE, MG,-19.82150921426511,val: -43.96683064016958,SAO PAULO,SP,-23.57714001165677,-46.48276229003407,val: 5.0
mc_ID_8331,"SINGLE_FEMALE_WITH_THREE_CHILDREN,_EDUCATION:_BACHELOR'SS_DEGREE_WORKING_AS_MANAGEMENT",30K or more,"Cold Remedies from Health and Hygiene department, Ordered Brand : Hilltop",18.7513,,,yes,['Coffee Bar'],Big Time Saving,Small Grocery,0.73 M,0.292 M,1422.55,2088.27,,266.73,631.1041,jundiai,SP,-23.1886382132707,-46.87453437279828,sao jose,SC,amount: -27.543786658615705,measure: -48.62567962615467,3.0
mc_ID_8333,"Married Male with three children, education: high school degree working as skilled manual",€25K+,"Eggs from Eggs department, Ordered Brand : Blue Medal",24.8564,20.4957,4.360700000000001,no,"['Bar For Salad', 'Coffee Bar', 'Video Store', 'Florist', 'Ready Food']",Price Cutters,Gourmet,7.26 M,2.3232 M,1424.85,2195.89,465.54,310.3,675.716,sao joao de meriti,rj ,val: -22.78807396716683,-43.37857000057292,sao paulo,SP,data: -23.70965016443733,-46.69257464205786,5.0
mc_ID_8337,"Single Female with four children, education: bachelors degree working as professional",50K+,"Eggs from Eggs department, Ordered Brand : Blue Medal",28.3451,25.4379,2.9072,yes,[],Two for One,SUPERMARKET,6.57 M,2.4966 M,2049.72,2811.99,457.36,303.56,300.8296,sao paulo,sp,-23.52707749624909,-46.696482,santo andre, sp ,data: -23.665703457960586,-46.51808196779969,1.0
mc_ID_8338,"Single Male with two children, education: partial high school working as skilled manual",30K+,"Breakfast Foods from Breakfast Foods department, Ordered Brand : Jeffers",30.9615,29.3626,-1.5989000000000004,no,"['Ready Food', 'Florist', 'Bar For Salad', 'Coffee Bar']",Shelf Emptiers,Gourmet,4.58 M,1.9236 M,1567.42,,385.45,256.97,773.0986,tomazina,pr,-23.77756978556728,-49.95469142163561,ibitinga,sP,-21.7664768468313,-48.83154737836604,5.0
mc_ID_8339,Single Female with one child + education: high school degree working as skilled manual,30K+,"Baking Goods from Baking Goods department, Ordered Brand : Landslide",30.8162,-0.1,-1.0,yes,"['Bar For Salad', 'Ready Food']",Big Time Discounts,,€6.0M,3.1152 M,2448.37,3229.37,470.27,314.32,501.9754,sao paulo,SP,-23.60047874049282,-46.528888809048425,amparo,sp,measure: -22.72282092806635,-46.84179829244856,4.0
mc_ID_8340,"Single Female with three children, education: high school degree working as skilled manual",30K+,"Vegetables from Produce department, Ordered Brand : Tell Tale",10.8002,7.8785,2.9217000000000004,yes,"['Bar For Salad', 'Ready Food']",Roller Savings (High) ,SuPermArKET,"7.92 ,000,000",3.8808 M,2265.9,,855.22,568.75,356.4245,"jacarei
",SP,-23.270441385509848,-45.93742768428648,joinville,SC,-26.270134671231133,-48.80876106346335,###
mc_ID_8343,"Singlee  Male  with  five  children,  education:  Bachelors  degree  working  as  management",150000,"Canned Anchovies from Canned Foods department, Ordered Brand : Pleasant",measure: 13.6928,-10.7857,2.9071,yes,"['Bar For Salad', 'Video Store', 'Coffee Bar', 'Florist', 'Ready Food']",,Deluxe,€11.7M,5.7792 M,1871.16,2864.46,593.93,395.95,measure: 484.1411,	sao paulo, SP ,-23.471434582289824,-46.64062326449884,saLTo,SP,-23.20591698084141,-47.307845865803,5.0
mc_ID_8347,"Single Male with two children, education: high school degree working as skilled manual",30K+,"Dairy from Dairy department, Ordered Brand : Even Better",31.543,,,no,"['Florist', 'Bar For Salad', 'Ready Food', 'Coffee Bar', 'Video Store']",Lottery Cash Registerion,deluxe,3.45 M,1.38 M,,2572.86,505.07,335.38,313.0678,	mairinque,SP,-23.532772472991248,-47.16937115902071,SAO PAULO,SP_,-23.65111484251016,-46.75521082321932,1.0
mc_ID_8349,"SINGLE FEMALE WIHT TWO CHILDREN, EDUCATION: HIGH SCHOOL DEGREE WORKING AS MANUAL.",30K+,"Vegetables from Produce department, Ordered Brand : Tell Tale",19.4781,16.4256,3.052500000000002,no,['Coffee Bar'],Pick Your Savings,5Mall gROCEry,3.3 M,1.386 M,1423.37,2088.27,398.93,264.85,300.7773,recife,PE,-8.00220038511063,-34.93138554447963,Guariba,sp,-21.36235769739203,-48.232975701561735,5.0
mc_ID_8350,"Single Male with four children, education: partial high school working as manual",10K+,"Vegetables from Produce department, Ordered Brand : Hermanos",23.4028,20.4957,amount: 2.9071,yes,['Coffee Bar'],Price Slashers,Suparmarket,9.81 M,3.1392 M,1235.87,1970.94,440.92,292.49,525.3012,sao paulo,sp,amount: -23.56810218341981,-46.68548426098767,CaMPo 1ImPO paUlisTa,SP,-23.20706431353269,-46.760735214610754,5.0
mc_ID_8353,"Married Male wiht two children, education: partial High School working as skilled manual",$10K+,"Candy from Snacks department, Ordered Brand : Thresher",30.3801,data: 25.874,4.5061,no,[],Shelf Clearing Days,Supermarket,5.13 M,2.1546 M,,1890.35,229.8,151.9,399.6243,bauru,_SP,-22.33464564974889,-49.05350529935354,belo horizoñte, MG ,-19.878513898894187,measure: -43.95694702879617,5.0/5.0
mc_ID_8354,"Married Female with four children, education: high school degree working as professional",€93K+,"Side Dishes from Deli department, Ordered Brand : American",10.5531,7.6459,2.9072000000000005,no,"['Bar For Salad', 'Coffee Bar', 'Florist', 'Ready Food']",Weekend Discount,Deluxe,"9.08 ,000,000",4.2676 M,2055.29,3144.4,654.13,436.09,382.0515,santo andre,sp,-23.696333654452097,val: -46.5268662352127,piracicaba,SP,-22.71683928585045,-47.65736585405934,4.0
mc_ID_8355,"Single Male with five children, education: partial high school working as manual",30K+,"Electrical from Household department, Ordered Brand : High Quality",10.0007,7.0935,2.9072000000000005,no,"['Bar For Salad', 'Florist', 'Video Store', 'Ready Food', 'Coffee Bar']",Price Slashers,Deluxe,4.48 M,2.0608 M,1734.5,2572.86,505.07,333.42,282.9953,sao paulo,sp,-23.45594288980902,-46.646095945322855,FRANCISCO BELTRAO,Pr,-26.003670174999968,-53.23275043899997,5.0
mc_ID_8357,"Single Male with one child, education: bachelors degree working as professional",50k,"Dairy from Dairy department, Ordered Brand : Club",13.9254,11.0037,2.9216999999999995,no,"['Florist', 'Bar For Salad', 'Ready Food', 'Coffee Bar']",Promo Big,Delux3,8.79 M,4.2192 M,2055.29,3145.84,654.13,,data: 267.3576, ponta grossa,PR,-25.084951512349253,-50.1719179396387,Rio De Janeiro,RJ,-22.87459850346245,amount: -43.477731000000006,4.0
mc_ID_8360,"Single Male with four children, education: high school degree working as manual",30 Thousand,"Snack Foods from Snack Foods department, Ordered Brand : Fort West",18.0246,14.972,-3.0526,yes,"['Ready Food', 'Florist', 'Coffee Bar', 'Video Store', 'Bar For Salad']",Save It (Sale),Deluxe,3.04 M,0.9728 M,1525.28,,373.1,248.79,393.4006,Sao P4Ulo,SP,-23.592208452680463,data: -46.52125286955393,saO pAULo,$P,-23.554079433810344,-46.53324185942636,5.0
mc_ID_8362,"Single Male wiht one child, education: partial college working as skilled manual",$30K+,"Meat from Deli department, Ordered Brand : Lake",18.606,val: 14.2452,4.360800000000001,no,"['Bar For Salad', 'Coffee Bar', 'Ready Food', 'Video Store', 'Florist']",Price Cutters,Gourmet,4.29 M,1.716 M,1424.85,,465.54,310.3,675.716,Sumare,SP,-22.81157137691151,-47.26740684846208,santo andre,SP,-23.7622680628159,-46.46728047262276,5.0
mc_ID_8363,"Single Female with No children, education: bachelors degree working as management",840+ monthly,"Fruit from Produce department, Ordered Brand : Tri-State",13.6202,10.6984,2.921800000000001,yes,"['Ready Food', 'Florist', 'Coffee Bar', 'Bar For Salad', 'Video Store']",Big Time Saving,Deluxe,11.44 M,5.72 M,1871.16,2861.13,,395.95,676.6574,orizan1a,MG ,-20.51053920586263,-42.20115269609158,5ALTO,SP,-23.19024365306712,-47.291570633360266,5.0
mc_ID_8365,"Single Male with two children, education: high school degree working as skilled manual",30K+,"Jams and Jellies from Baking Goods department, Ordered Brand : Landslide",14.8266,11.9049,measure: 2.9216999999999995,yes,"['Ready Food', 'Video Store', 'Florist', 'Bar For Salad', 'Coffee Bar']",Save Price,Deluxe,2.04 M,0.714 M,2038.11,2842.36,481.98,321.26,284.3028,CARAPIÇUIBA,SP,-23.57241932843741,-46.81653106742156,monta siao,MG,measure: -22.42880507067007,-46.569550269431765,3.0
mc_ID_8366,"Married Male with four kids, education: high school degree working as skilled manual",30K+,"Seafood from Seafood department, Ordered Brand : Dual City",18.4606,15.4081,3.0525,yes,[],Roller Savings (High) ,	supermarket,8.5 M,3.74 M,1508.0,1884.19,227.8,153.29,379.7503,rio de janeiro,RJ,-22.93348721120668,-43.24563886482204,Sao Paulo,sp,-23.65111484251016,-46.75521082321932,2.0
mc_ID_8367,"Married Female with one kid, education: bachelors degree working as professional",70K+,"Baking Goods from Baking Goods department, Ordered Brand : Super",-11.1054,8.1837,To Be Determined,no,[],Go For It,Supermarket,5.43 M,2.5521 M,2049.79,2811.07,457.36,304.91,525.8765,cotla, SP ,-23.580893514570946,amount: -46.924123919095166,ibiting4,sp,-21.7664768468313,-48.83154737836604,1.0
mc_ID_8368,"MaRrIeD FeMaLe wItH FoUr cHiLdReN, eDuCaTiOn: PaRtIaL HiGh sChOoL WoRkInG As mAnUaL",$10K+,"Baking Goods from Baking Goods department, Ordered Brand : Plato",19.4781,,,yes,"['Coffee Bar', 'Florist']",Green Light Special,Mid-Size,"1.54 ,000,000",0.7084 M,2551.4,3200.69,389.54,259.66,769.6991,mogi das cruzes,SP,-23.528610738236747,val: -46.16789925641224,bLumeNAU,SC,-26.91141069525076,-49.11143612738765,1.0
mc_ID_8369,"Single Male with four children, education: bachelors degree working as professional",$50K+,"Vegetables from Produce department, Ordered Brand : Ebony",27.1822,data: 24.275,2.907200000000003,no,[],Shelf Clearing Days,,3.46 M,1.557 M,,2191.86,341.05,,288.8006,sao paulo,5P,-23.52455351457096,-46.389812155144575,"saltu
",SP,measure: -23.194155763010308,-47.26601382366275,data: nan
mc_ID_8370,"Single_Male_with_four_kids,_education:_graduate_degree_working_as_professional",70K+,"Baking Goods from Baking Goods department, Ordered Brand : Landslide",,23.5482,,yes,[],,Supermarket,8.4 M,3.024 M,2049.72,2815.41,457.36,,610.5502,uberlandia,MG,-18.882476025535222,-48.2792850313636,ibi7inga,sP,-21.7664768468313,-48.83154737836604,3.0
mc_ID_8371,"Marriied Female with two children, education: high school degree working as skilled manual",10K+,"Baking Goods from Baking Goods department, Ordered Brand : CDR",23.4028,20.4957,-2.9071,yes,"['Coffee Bar', 'Video Store', 'Ready Food', 'Bar For Salad', 'Florist']",Shelf Clearing Days,Deluxe,7.14 M,3.2844 M,,2858.31,593.93,395.95,data: 516.7763,santo andre,SP,-23.639620380229736,-46.50604149140166,_sao paulo,SP,-23.54029947071385,-46.66278360519932,5.0
mc_ID_8374,"Single Male with four kids, education: high school degree working as manual",€25K+,"Bathroom Products from Health and Hygiene department, Ordered Brand : Hilltop",13.4603,12.0067,1.4535999999999998,no,[],Price Slashers,supermarket,5.76 M,2.304 M,1508.0,1885.51,227.8,153.11,351.456,sao jose do vale do rio preto,RJ,data: -22.16464286437637,-42.93817598820664,penapolis,	Sp,-21.442124375537592,-50.07351408965658,5.0
mc_ID_8375,"Single Male with three children, education: partial high school working as skilled manual",30 Thousand,"Frozen Entrees from Frozen Foods department, Ordered Brand : PigTail",-1.0,23.6936,,yes,"['Ready Food', 'Florist', 'Bar For Salad', 'Video Store', 'Coffee Bar']",Price Slashers,DElUXe,"4.44 ,000,000",1.8204 M,1734.5,2572.86,503.07,337.03,282.9953,Curitiba,PR,-25.393345281980704,data: -49.35098627800838,limeira,SP,-22.599254430886607,-47.37980963550319,1.0
mc_ID_8376,"Married Female with one child, education: bachelors degree working as professional",840+ monthly,"Jams and Jellies from Baking Goods department, Ordered Brand : BBB Best",-0.1,,,no,['Florist'],Shelf Emptiers,,5.6 M,1.736 M,1318.99,2192.32,,348.85,564.2647,brasilia,DF,-15.814967496183934,-47.98299607251937,gu4rulhos, $P ,-23.44007914793122,-46.51144923980033,4.0
,"Married Female with one kid, education: high school degree working as manual",30K+,"Vegetables from Frozen Foods department, Ordered Brand : Golden",28.9265,,-1.0,no,[],Coupon Spectacular,,$3.62 M,1.7014 M,2085.67,3391.8,783.64,520.7,658.0909,sao paulo,SP,-23.462475485429053,amount: -46.70268414210284,ribeirao preto,SP,-21.1774515925616,data: -47.79583295337295,5.0
mc_ID_8378,"MARRIED FEMALE WITH NO CHILDREN, EDUCATION: GRADUATE DEGREE WORKING AS PROFESSIONAL, MARRIED FEMALE WITH NO CHILDREN",1560+ monthly,"Bathroom Products from Health and Hygiene department, Ordered Brand : Steady",16.4256,13.5184,2.9072,no,"['Bar For Salad', 'Ready Food']",Super Savers,Supermarket,7.05 M,3.243 M,2448.37,3232.19,470.27,313.55,measure: 754.7413,artur nogueira,sp,-22.559120480675748,-47.16516839542564,mAriNGA,Pr,-23.41000679702781,-51.88262571961486,3.0
mc_ID_8380,"Married Female with five children , education: partial high school working as manual",10K+,"Dairy from Dairy department, Ordered Brand : Carlson",28.4904,24.1296,4.360800000000001,yes,"['Ready Food', 'Bar For Salad']",Three for One,	Supermarket,7.08 M,3.0444 M,2447.47,,472.27,312.54,656.2604,riO De jAn3IrO,Rj,-22.92173310574757,-43.25868934445138,ribeirao preto,SP,-21.1774515925616,-47.79583295337295,4.0
mc_ID_8381,"Single Female with one child, education: high school degree working as skilled manual",360+ monthly,"Hygiene from Health and Hygiene department, Ordered Brand : Steady",13.344,8.9832,4.360799999999999,no,"['Ready Food', 'Video Store', 'Florist', 'Bar For Salad', 'Coffee Bar']",Two Day Sale,Deluxe,3.84 M,1.5744 M,2038.11,2839.43,481.98,320.97,495.7517,ItapO1iS,sp,measure: -21.59119807780176,-48.81835065575072,sao jose do rio preto,Sp,-20.80243626346376,-49.39562406741489,5.0
mc_ID_8382,"Married Female with four children, education: partial high school working as manual",$10K+,"Electrical from Household department, Ordered Brand : Sunset",31.3976,29.944,1.4536000000000016,no,[],You Save Days,Supermarket,6.51 M,2.9295 M,1508.0,1887.7,227.8,151.9,565.9906,batalha,EL,-9.67544671932256,-37.12468028561955,petropolis,RJ,measure: -22.549033360244323,-43.210094724044055,val: 5.0
mc_ID_8383,"Single Male with one child, education: bachelors degree working as professional",70K or more,"Drinks from Beverages department, Ordered Brand : Token",20.0596,15.6988,4.360799999999999,yes,['Coffee Bar'],Fantastic Discounts,Small Grocery,3.22 M,1.3524 M,1423.37,2088.21,398.93,265.98,700.8723,sao paulo,SP,-23.590774173466443,-46.67100192576026,$ao paulo,SP,data: -23.553644898695826,-46.63261889578163,1.0
mc_ID_8384,"Married Female with five children, education: high school degree working as skilled manual",30K+,"Fruit from Produce department, Ordered Brand : Hermanos",-9.8699,6.9482,2.9216999999999995,no,"['Bar For Salad', 'Video Store', 'Coffee Bar', 'Ready Food', 'Florist']",I Cant Believe It Sale,deluxe,15.76 M,7.2496 M,1734.09,2572.52,503.07,335.38,363.3281,vitoria,ES,-20.258271017529587,amount: -40.26903411769548,CO7IA,SP,-23.60522961818243,val: -46.90761789965579,5.0
mc_ID_8385,"Married Male with four children, education: high school degree working as manual",$30K+,"Hot Beverages from Beverages department, Ordered Brand : Super",-27.4729,-24.4204,3.0524999999999984,no,"['Ready Food', 'Bar For Salad', 'Coffee Bar', 'Florist', 'Video Store']",Sale Winners,	DELUXE,8.58 M,3.0888 M,1871.16,2861.13,593.93,396.65,519.7574,praia grande,SP,-24.026786758814687,-46.49304889148245,londrina,PR,measure: -23.309902583386343,-51.172848272548926,4.0
mc_ID_8386,"Single Male with two children, education: partial high school working as manual",30k,"Cold Remedies from Health and Hygiene department, Ordered Brand : Hilltop",-15.4081,,val: nan,yes,[],Price Destroyers,,8.49 M,3.1413 M,2049.72,2810.79,457.36,304.4,325.6198,rio de janeiro,RJ,-22.819136857060435,measure: -43.36931423506847, Santa Terezinha De Itaipu,PR,-25.43158405315624,-54.402330873588255,3.0
mc_ID_8388,"Married Female with No children, education: high school degree working as skilled manual",30K+ annually,"Electrical from Household department, Ordered Brand : High Quality",517.87 oz,,,yes,"['Coffee Bar', 'Florist', 'Ready Food', 'Bar For Salad']",Two Day Sale,,4.11 M,1.9728 M,1563.09,2210.7,385.45,256.97,486.9653,rio de janeiro,	Rj,-22.87130753067111,-43.45235439953255,bRasiLLA,DF,-15.84494561197996,-47.98527498130505,1.0
mc_ID_8389,"Married Female with three children, education: bachelors degree working as professional",130K+,"Dairy from Dairy department, Ordered Brand : Even Better",31.543,-28.6358,data: 2.9072,no,[],Saving Days,Supermarket,€2.0M,0.782 M,1508.0,1887.7,227.8,,data: 619.0228,juiz de fora,MG,-21.74661521914629,-43.33178067215903,campinas,SP,-22.895876357204664,-47.0791850342778,5.0
mc_ID_8390,"Married Female with five children, education: bachelors degree working as professional",30K+,"Electrical from Household department, Ordered Brand : Denny",amount: 30.8162,val: 29.3626,1.453599999999998,no,[],GLD,Supermarket,6.81 M,2.3835 M,1508.0,1888.36,227.8,153.28,727.9637,canoas,Rs,-29.915258224808355,data: -51.18616902904408,sao p4ulo,_sp,val: -23.586145389375964,data: -46.72796029067322,1.0
mc_ID_8391,"Married Male with three children, education: bachelors degree working as professional",70K+,"Snack Foods from Snack Foods department, Ordered Brand : Fast",31.543,27.1822,4.360799999999998,yes,"['Video Store', 'Florist', 'Bar For Salad', 'Ready Food', 'Coffee Bar']",Bag Stuffer,Daluxe,"11.61 ,000,000",5.3406 M,1734.5,2567.86,503.07,335.38,val: 662.2226,sao goncalo do 4marante,CE,-3.609668999999947,-38.96661049999997,osa$co,SP,-23.581716041873264,data: -46.81487809720846,5.0
mc_ID_8393,"Single Male with one child, education: high school degree working as manual",30K+,,25.4379,23.9843,1.453599999999998,yes,['Florist'],Weekend Discount,Supermarket,10.32 M,4.0248 M,,2196.68,,350.36,279.1251,contagem,mg,-19.9436908647076,-44.06152591958379,sao jose dos campos,SP,measure: -23.23724961587513,-45.88082955926476,measure: 3.0
mc_ID_8394,"Married Female with four children, education: high school degree working as professional",130K or more,"Snack Foods from Snack Foods department, Ordered Brand : Fort West",12.7335,9.8263,2.9072,yes,"['Florist', 'Bar For Salad', 'Coffee Bar', 'Video Store', 'Ready Food']",Price Cutters,,€3.8M,2.025 M,1424.85,2199.17,465.54,310.3,675.716,sao paulo,SP,-23.479894623925205,data: -46.595511282820695,porto seguro,Ba,-16.44446967266491,-39.06166956260506,4.0
mc_ID_8397,"Married Female with No children, education: partial high school working as skilled manual",360+ monthly,"Starchy Foods from Starchy Foods department, Ordered Brand : Colossal",20.7864,16.4256,-4.360800000000001,yes,[],GLD, Supermarket ,11.82 M,4.8462 M,2049.72,2807.35,459.36,304.91,697.7866,balsas,MA,-7.511492507642972,-46.04703653821487,SANTO ANDRE,SP,-23.665703457960586,-46.51808196779969,5.0
mc_ID_8398,"Married Male with five children, education: high school degree working as manual",Income: 30K+,"Vegetables from Produce department, Ordered Brand : Tri-State",,-12.0648,-999.0,no,"['Florist', 'Coffee Bar', 'Video Store', 'Bar For Salad', 'Ready Food']",,deluxe,€3.4M,1.4874 M,1871.16,2861.5,593.93,395.95,516.7763,Porto Alegre,RS,-30.06838880309298,-51.22319513873832,piracicaba,SP,-22.71683928585045,-47.65736585405934,data: 5.0
...,"Married Male with three children, education: partial high school working as manual",10K+,"Snack Foods from Snack Foods department, Ordered Brand : Nationeel",amount: nan,,,yes,[],,Supermarket,5.88 M,1.8816 M,2051.21,,457.36,306.24,610.5502,sao paulo, SP ,-23.6358037821282,-46.63803244364944,jo1nville,"5c
",-26.28314924562872,-48.85128463059032,5.0
mc_ID_8402,"Married Female with five children, education: high school degree working as manual",30K+,"Fruit from Produce department, Ordered Brand : High Top",31.2522,28.3451,2.9071,no,"['Bar For Salad', 'Video Store', 'Ready Food', 'Coffee Bar', 'Florist']",Roller Savings (High) ,Deluxe,11.64 M,3.492 M,1734.5,2571.21,503.07,335.38,440.1568,_maCAE,RJ,-22.390114971582683,-41.786465462466936,caruaru,PE,-8.28465051618529,-35.96975637467875,3.0
mc_ID_8403,"Single Male with five children, education: partial high school working as manual",30K+,"Candy from Snacks department, Ordered Brand : Thresher",16.1349,,,no,"['Video Store', 'Coffee Bar', 'Bar For Salad', 'Florist', 'Ready Food']",Save Price,Gourmet,18.25 M,8.5775 M,1424.85,2197.13,465.54,,670.486,praia grande,SP,-24.03035876380635,-46.51578483014024,SAO P4ULO ,SP,-23.51674732944774,-46.54818243075192,1.0
mc_ID_8404,"Single Female with No children, education: partial high school working as skilled manual",30 Thousand,"Canned Soup from Canned Foods department, Ordered Brand : Blue Label",23.9843,19.6235,4.360800000000001,yes,[],Two Day Sale,Mid-Size,€2.2M,1.2672 M,2821.56,3564.27,447.7,297.36,495.7517,ituiutaba,MG,-18.98771181521178,-49.471572121790736, sao paulo ,SP,-23.535535799324883,-46.64305202830518,5.0
mc_ID_8405,"Married Male with three kidren, education: HS degree working as professional",€110K+,"Meat from Frozen Foods department, Ordered Brand : Big Time",-12.0648,9.1576,2.9072,yes,"['Ready Food', 'Florist', 'Coffee Bar', 'Bar For Salad']",Two Day Sale,Deluxe ,6.66 M,3.0636 M,2055.29,3145.51,654.13,435.61,542.0895,al7onia,PR,-23.87187862242288,-53.90062937414095,curitiba,pr,-25.4727349417162,-49.30563836747645,5.0
mc_ID_8406,"Married Male with three children, education: partial High School working as skilled manual",10K+,"Bread from Baked Goods department, Ordered Brand : Colony",10.9746,,val: nan,no,[],Price Slashers,,4.62 M,1.617 M,1623.48,2187.14,341.05,227.33,277.0331,NOVO CRUZEIRO,MG,-17.468251148683827,-41.87960133836853,saojosedoriopreto,SP,data: -20.80243626346376,amount: -49.39562406741489,5.0
mc_ID_8409,"Single Male with one child, education: partial high school working as professional",110K+,"Vegetables from Produce department, Ordered Brand : Hermanos",20.4957,-0.1,,no,[],Money Savers,,7.11 M,2.7018 M,1506.67,,227.8,152.92,277.2423,mandaguari,PR,-23.50634532242993,-51.696090205659,ibitlnga,5P,-21.7664768468313,-48.83154737836604,4.0
mc_ID_8410,"Single Male with three kids, education: partial high school working as professional",130K+,"Starchy Foods from Starchy Foods department, Ordered Brand : Jardon",19.6235,16.7163,2.9072,yes,[],One Day Sale,Supermarket,5.7 M,2.166 M,,2814.19,459.36,306.34,486.7561,sao leopoldo,RS,-29.777429782822736,-51.16438266988546,sao paulo, SP,-23.537511255832708,data: -46.63705730743676,5.0
mc_ID_8411,"Married Male with three children, education: partial high school working as skilled manual",50K+,"Hygiene from Health and Hygiene department, Ordered Brand : Faux Products",12.1084,-7.7331,4.375299999999999,yes,['Coffee Bar'],Best Price Savers,Supermarket,11.91 M,5.7168 M,1236.07,1972.79,440.92,,720.5371,bage,RS,-31.31124851159016,-54.09360649811303,dracena,$P,-21.4988715,-51.53786099999999,5.0
mc_ID_8414,"Married Female with two children, education: partial High School working as manual",10K+,"Jams and Jellies from Baking Goods department, Ordered Brand : BBB Best",31.6883,27.1822,4.5061,yes,"['Florist', 'Video Store', 'Coffee Bar', 'Bar For Salad', 'Ready Food']",GLD,Deluxe,10.83 M,4.9818 M,1871.16,2857.32,593.93,395.12,484.1411,_bom despacho,mg,-19.74074058834445,-45.25452490731858, ibitinga,SP,-21.7664768468313,-48.83154737836604,5.0
mc_ID_8415,"Married Male with No children, education: bachelors degree working as professional",70K+,"Frozen Entrees from Frozen Foods department, Ordered Brand : Golden",,9.3466,,no,"['Bar For Salad', 'Florist', 'Coffee Bar', 'Ready Food']",,deLux3,3.66 M,1.1346 M,,3143.48,654.13,436.09,779.6884,vespasiano_,MG,-19.755283922647653,-43.94895032392866,"ibitinga
",SP,-21.7664768468313,val: -48.83154737836604,val: 5.0
mc_ID_8416,"Single Male with one child, education: partial high school working as manual",30K+,"Plastic Products from Household department, Ordered Brand : High Quality",,-8.5181,,yes,['Coffee Bar'],Discount Frenzy,Sup3Rmarket,10.35 M,3.8295 M,1236.07,1968.71,,293.95,760.4943,fortaleza,CE,-3.737756388568278,-38.50052084624039,SUMARE,SP,amount: -22.800362898695823,-47.21833340077328,measure: 1.0
mc_ID_8418,"MaRrIeD FeMaLe wItH ThReE ChIlDrEn, EdUcAtIoN: gRaDuAtE DeGrEe wOrKiNg aS MaNaGeMeNt",130K+,"Fruit from Produce department, Ordered Brand : Ebony",21.8039,,measure: nan,no,"['Bar For Salad', 'Ready Food']",Go For It,,9.72 M,4.2768 M,2449.74,3230.57,470.27,313.55,347.1151,NiTeROI,RJ,-22.901359568959617,val: -43.1241522171793,belo horiz0nte,MG,-19.91624655709342,-43.93623364096637,5.0
mc_ID_8419,"Married Male with one child, education: graduate degree working as professional",110K+,"Vegetables from Produce department, Ordered Brand : Tell Tale",val: nan,,-1.0,yes,"['Ready Food', 'Florist', 'Bar For Salad', 'Coffee Bar']",Discount Frenzy,,4.35 M,1.4355 M,2055.29,3145.51,654.13,436.09,779.6884,CANOAS,Rs,val: -29.929553444630383,-51.17033878971692,sao paulo_,SP ,data: -23.48618566157444,-46.46171801285908,5.0
mc_ID_8421,"Single Female with one child, education: partial college working as manual",50K+ annually,"Bathroom Products from Health and Hygiene department, Ordered Brand : Consolidated",val: 23.5482,val: nan,,no,"['Bar For Salad', 'Ready Food', 'Florist', 'Coffee Bar', 'Video Store']",I Cant Believe It Sale,Deluxe,1.46 M,0.5256 M,1734.5,2574.26,503.07,335.38,363.3281,sao paulo,SP,-23.512668178041054,-46.58665534166385,praia grande,SP,-24.026786758814687,-46.49304889148245,5.0
mc_ID_8423,"Single Female with five children, education: partial High School working as manual",10k,"Fruit from Canned Products department, Ordered Brand : Big City",-16.8617,12.5009,4.360799999999999,yes,"['Bar For Salad', 'Ready Food', 'Coffee Bar', 'Video Store', 'Florist']",Price Cutters,Deluxe,1.52 M,0.6232 M,1525.28,2147.43,373.1,248.93,642.0871,m@monas,MG,-15.046670282997718,-42.95524548831688,Ibitinge,SP,-21.7664768468313,-48.83154737836604,3.0
